timestamp,gpp_nt_mean,gpp_dt_mean,nee_qc_mean,gpp_nt_valid_obs,gpp_dt_valid_obs,sw_in_f_mean,sw_in_f_valid_obs,sw_in_pot_mean,sw_in_pot_valid_obs,vpd_f_mean,vpd_f_valid_obs,ppfd_in_mean,ppfd_in_valid_obs,ta_f_mean,ta_f_valid_obs,p_f_mean,p_f_valid_obs,swc_f_mds_1_mean,swc_f_mds_1_valid_obs,rh_mean,rh_valid_obs,co2_f_mds_mean,co2_f_mds_valid_obs,nee_vut_ref_qc_mean,nee_vut_ref_qc_valid_obs,daily_gpp_nt_mean,daily_gpp_dt_mean,daily_nee_qc_mean,daily_gpp_nt_valid_obs,daily_gpp_dt_valid_obs,daily_sw_in_f_mean,daily_sw_in_f_valid_obs,daily_sw_in_pot_mean,daily_sw_in_pot_valid_obs,daily_vpd_f_mean,daily_vpd_f_valid_obs,daily_ppfd_in_mean,daily_ppfd_in_valid_obs,daily_ta_f_mean,daily_ta_f_valid_obs,daily_p_f_mean,daily_p_f_valid_obs,daily_swc_f_mds_1_mean,daily_swc_f_mds_1_valid_obs,daily_rh_mean,daily_rh_valid_obs,daily_co2_f_mds_mean,daily_co2_f_mds_valid_obs,daily_nee_vut_ref_qc_mean,daily_nee_vut_ref_qc_valid_obs,monthly_ai,igbp_ai,year_ai,Site_Num,ratio_gpp_nt,ratio_gpp_dt,ratio_ta_f,ratio_vpd_f,ratio_sw_in_pot,ratio_sw_in_f,ratio_ppfd_in,ratio_swc_f_mds_1,ratio_rh,ratio_co2_f_mds,Year,Month,gpp_nt_mean_rmd,gpp_dt_mean_rmd,abs_rmd,sample_num,Hour_str,pred_ratio_gpp_dt1,ratio_sw,pred_ratio_gpp_dt2,conversion factor,LAT,LONG,COS SZA_ratio
2.01E+11,3.033502958,0.842361417,0.208333333,24,24,894.3333333,24,1330.175833,24,26.87520833,24,,0,26.485,24,0.25,24,8.9,24,26.75,24,367.9317917,24,0.208333333,24,2.16049097,0.562232241,0.288511617,24,24,589.8151884,20.41666667,949.9044956,20.41666667,23.69482674,20.41666667,,0,24.78955083,20.41666667,0.088679074,20.41666667,9.207863839,20.41666667,32.49097337,20.41666667,371.1225586,20.41666667,0.288511617,20.41666667,0.1541113,GRA,0.2302711,25,1.404080369,1.498244597,1.068393703,1.134222614,1.400325864,1.516294173,,0.966565118,0.82330559,0.99140239,2012,11,-15.12896462,-4.530092637,4.530092637,22448,11:00,1.516294173,0.555539573,1.1871982,0.7095373,-34.9893,146.2907,1.331903367
2.01E+11,2.721711667,0.73869737,0.222222222,27,27,849.4814815,27,1346.274074,27,27.27959259,27,,0,26.82555556,27,0.037037037,27,9.72962963,27,28.48148148,27,369.2148519,27,0.222222222,27,2.16049097,0.562232241,0.288511617,24,24,589.8151884,20.41666667,949.9044956,20.41666667,23.69482674,20.41666667,,0,24.78955083,20.41666667,0.088679074,20.41666667,9.207863839,20.41666667,32.49097337,20.41666667,371.1225586,20.41666667,0.288511617,20.41666667,0.1541113,GRA,0.2302711,25,1.259765352,1.313865191,1.08213157,1.151288967,1.417273084,1.440250265,,1.056665237,0.876596744,0.994859631,2012,11,-15.12896462,-4.530092637,4.530092637,22449,11:30,1.440250265,0.512895146,1.1537721,0.64024544,-34.9893,146.2907,1.401980277
2.01E+11,2.43788748,0.76441268,0.24,25,25,858.88,25,1345.8056,25,28.46316,25,,0,26.9764,25,0.04,25,9.356,25,25.88,25,368.57488,25,0.24,25,2.16049097,0.562232241,0.288511617,24,24,589.8151884,20.41666667,949.9044956,20.41666667,23.69482674,20.41666667,,0,24.78955083,20.41666667,0.088679074,20.41666667,9.207863839,20.41666667,32.49097337,20.41666667,371.1225586,20.41666667,0.288511617,20.41666667,0.1541113,GRA,0.2302711,25,1.128395126,1.359603069,1.088216571,1.201239423,1.416779904,1.456184949,,1.016088005,0.796528922,0.99313521,2012,11,-15.12896462,-4.530092637,4.530092637,22450,12:00,1.456184949,0.524942028,1.1289204,0.6771183,-34.9893,146.2907,1.452924666
2.01E+11,1.158436789,0.346726737,0.263157895,19,19,853.6842105,19,1244.351053,19,32.22715789,19,,0,30.28842105,19,0,19,8.994736842,19,29.89473684,19,348.8112632,19,0.263157895,19,0.866986851,0.221381866,0.217861702,24,24,559.837335,16.54166667,890.2742269,16.54166667,31.0462578,16.54166667,,0,29.74193899,16.54166667,0.014080237,16.54166667,7.903179916,16.54166667,30.78908761,16.54166667,350.1081321,16.54166667,0.217861702,16.54166667,0.1221269,GRA,0.2302711,25,1.336164197,1.566193039,1.018374123,1.038036793,1.397716586,1.524879027,,1.138116168,0.970952346,0.996295805,2013,2,-25.8049826,-13.15000687,13.15000687,22516,11:00,1.524879027,0.227379832,1.2498753,0.27740908,-34.9893,146.2907,1.306466685
2.01E+11,1.18025345,0.37377525,0.15,20,20,924.75,20,1290.4735,20,34.5699,20,,0,31.007,20,0,20,7.075,20,25.6,20,349.92,20,0.15,20,0.866986851,0.221381866,0.217861702,24,24,559.837335,16.54166667,890.2742269,16.54166667,31.0462578,16.54166667,,0,29.74193899,16.54166667,0.014080237,16.54166667,7.903179916,16.54166667,30.78908761,16.54166667,350.1081321,16.54166667,0.217861702,16.54166667,0.1221269,GRA,0.2302711,25,1.36132797,1.688373386,1.042534584,1.113496519,1.449523597,1.651819095,,0.89520928,0.831463417,0.999462646,2013,2,-25.8049826,-13.15000687,13.15000687,22517,11:30,1.651819095,0.226280984,1.3064582,0.28609812,-34.9893,146.2907,1.404747734
2.01E+11,1.82973836,0.70428252,0.28,25,25,806,25,1106.6616,25,24.73436,25,,0,26.2956,25,0,25,12.74,25,33.2,25,354.09316,25,0.28,25,1.324088571,0.416063971,0.194385433,24,24,502.0339292,23.58333333,749.2184111,23.58333333,23.15995611,23.58333333,,0,25.58569029,23.58333333,0.071803354,23.58333333,12.86193987,23.58333333,36.7341173,23.5,355.5068666,23.58333333,0.194385433,23.58333333,0.1828995,GRA,0.2302711,25,1.38188517,1.692726525,1.027746357,1.067979571,1.477088101,1.605469179,,0.990519325,0.903791963,0.996023406,2013,3,3.57913072,-7.88200829,7.88200829,22540,11:00,1.605469179,0.438677073,1.2663016,0.5561728,-34.9893,146.2907,1.349541446
2.01E+11,1.592113704,0.646177667,0.185185185,27,27,826.9537037,27,1145.697778,27,25.43140741,27,,0,26.68407407,27,0,27,13.34074074,27,32.66666667,27,353.6340741,27,0.185185185,27,1.324088571,0.416063971,0.194385433,24,24,502.0339292,23.58333333,749.2184111,23.58333333,23.15995611,23.58333333,,0,25.58569029,23.58333333,0.071803354,23.58333333,12.86193987,23.58333333,36.7341173,23.5,355.5068666,23.58333333,0.194385433,23.58333333,0.1828995,GRA,0.2302711,25,1.202422359,1.553072872,1.042929613,1.098076667,1.529190635,1.647206803,,1.037226178,0.889273217,0.99473205,2013,3,3.57913072,-7.88200829,7.88200829,22541,11:30,1.647206803,0.39228691,1.2763455,0.5062717,-34.9893,146.2907,1.462036352
2.01E+11,1.852871042,0.704837417,0.125,24,24,834.4166667,24,1163.83,24,26.48645833,24,,0,27.12833333,24,0,24,13.025,24,31.125,24,353.173125,24,0.125,24,1.324088571,0.416063971,0.194385433,24,24,502.0339292,23.58333333,749.2184111,23.58333333,23.15995611,23.58333333,,0,25.58569029,23.58333333,0.071803354,23.58333333,12.86193987,23.58333333,36.7341173,23.5,355.5068666,23.58333333,0.194385433,23.58333333,0.1828995,GRA,0.2302711,25,1.399355815,1.694060206,1.060293196,1.143631629,1.553392152,1.662072259,,1.012677724,0.847304966,0.993435453,2013,3,3.57913072,-7.88200829,7.88200829,22542,12:00,1.662072259,0.424071465,1.296319,0.5437222,-34.9893,146.2907,1.550130685
2.01E+11,2.047827731,1.364674885,0.076923077,26,26,643.1153846,26,930.6923846,26,15.69965385,26,,0,21.22461538,26,0,26,8.226923077,26,40.92307692,26,361.7687308,26,0.076923077,26,1.243253405,0.882544411,0.247649027,24,24,358.6678472,26.41666667,577.7986804,26.41666667,14.87828847,26.41666667,,0,19.95393004,26.41666667,0.003031305,26.41666667,8.352796928,26.41666667,44.18136106,26.41666667,362.6205883,26.41666667,0.247649027,26.41666667,0.2478665,GRA,0.2302711,25,1.64715232,1.546295991,1.063680956,1.055205636,1.610755469,1.793066732,,0.984930335,0.926252065,0.99765083,2013,4,2.462392839,6.203024331,6.203024331,22564,11:00,1.793066732,0.76108427,1.452687,0.93941426,-34.9893,146.2907,1.557191627
2.01E+11,1.747397414,1.253110483,0.068965517,29,29,612.7356207,29,959.3003793,29,17.37172414,29,,0,22.09241379,29,0,29,8.262068966,29,38.06896552,29,361.4931034,29,0.068965517,29,1.243253405,0.882544411,0.247649027,24,24,358.6678472,26.41666667,577.7986804,26.41666667,14.87828847,26.41666667,,0,19.95393004,26.41666667,0.003031305,26.41666667,8.352796928,26.41666667,44.18136106,26.41666667,362.6205883,26.41666667,0.247649027,26.41666667,0.2478665,GRA,0.2302711,25,1.405503823,1.419883766,1.107171056,1.167588878,1.660267515,1.708365067,,0.989138014,0.861652167,0.996890731,2013,4,2.462392839,6.203024331,6.203024331,22565,11:30,1.708365067,0.733514462,1.3974931,0.8966846,-34.9893,146.2907,1.635038614
2.01E+11,1.762217786,1.320404429,0.107142857,28,28,649.65475,28,977.5380714,28,18.92960714,28,,0,22.79535714,28,0,28,8.767857143,28,34.75,28,360.6896429,28,0.107142857,28,1.243253405,0.882544411,0.247649027,24,24,358.6678472,26.41666667,577.7986804,26.41666667,14.87828847,26.41666667,,0,19.95393004,26.41666667,0.003031305,26.41666667,8.352796928,26.41666667,44.18136106,26.41666667,362.6205883,26.41666667,0.247649027,26.41666667,0.2478665,GRA,0.2302711,25,1.417424459,1.496133692,1.142399372,1.27229736,1.691831609,1.811299103,,1.049691166,0.786530771,0.994675025,2013,4,2.462392839,6.203024331,6.203024331,22566,12:00,1.811299103,0.728981992,1.4155178,0.9328066,-34.9893,146.2907,1.680902201
2.01E+11,1.271330538,0.870860615,0.153846154,26,26,493.0384615,26,754.1188077,26,8.855653846,26,,0,15.99115385,26,0.076923077,26,16.00769231,26,54.23076923,26,369.4004231,26,0.153846154,26,1.005973695,0.492408834,0.344440226,24,24,249.8500302,24.08333333,433.2054789,24.08333333,8.376855437,24.08333333,,0,14.95144802,24.08333333,0.125047204,24.08333333,14.86277952,24.08333333,57.25810438,24.08333333,369.6138543,24.08333333,0.344440226,24.08333333,0.5003371,GRA,0.2302711,25,1.263781096,1.768572283,1.069538805,1.057157296,1.740787789,1.973337611,,1.077032213,0.947128268,0.999422556,2013,5,1.602669333,-6.269956506,6.269956506,22588,11:00,1.973337611,0.441313544,1.7041867,0.5110125,-34.9893,146.2907,1.709718216
2.01E+11,1.245435846,0.905363346,0.346153846,26,26,506.1346154,26,780.3874615,26,9.508,26,,0,16.58076923,26,0,26,16.26153846,26,52.84615385,26,369.9454231,26,0.346153846,26,1.005973695,0.492408834,0.344440226,24,24,249.8500302,24.08333333,433.2054789,24.08333333,8.376855437,24.08333333,,0,14.95144802,24.08333333,0.125047204,24.08333333,14.86277952,24.08333333,57.25810438,24.08333333,369.6138543,24.08333333,0.344440226,24.08333333,0.5003371,GRA,0.2302711,25,1.238040172,1.838641559,1.108974141,1.135032122,1.80142565,2.025753669,,1.094111532,0.92294627,1.000897068,2013,5,1.602669333,-6.269956506,6.269956506,22589,11:30,2.025753669,0.446926672,1.7671664,0.51232487,-34.9893,146.2907,1.786049001
2.01E+11,1.270279321,0.866143607,0.142857143,28,28,511.5357143,28,788.0231429,28,10.68975,28,,0,17.395,28,0.035714286,28,16.01071429,28,49.35714286,28,379.2831786,28,0.142857143,28,1.005973695,0.492408834,0.344440226,24,24,249.8500302,24.08333333,433.2054789,24.08333333,8.376855437,24.08333333,,0,14.95144802,24.08333333,0.125047204,24.08333333,14.86277952,24.08333333,57.25810438,24.08333333,369.6138543,24.08333333,0.344440226,24.08333333,0.5003371,GRA,0.2302711,25,1.262736121,1.758992828,1.163432463,1.276105345,1.819051654,2.047371033,,1.077235538,0.862011472,1.026160611,2013,5,1.602669333,-6.269956506,6.269956506,22590,12:00,2.047371033,0.423051608,1.7743757,0.4881399,-34.9893,146.2907,1.822054628
2.01E+11,9.464857,8.229235667,0.1,30,30,710.3666667,30,1036.455967,30,13.5571,30,,0,19.33166667,30,0.1,30,14.66,30,43.36666667,30,369.0509667,30,0.1,30,7.117482844,5.864400101,0.237961766,24,24,412.6853196,28,665.7966074,28,11.72632504,28,,0,17.6980731,28,0.067908914,28,14.44483598,28,49.70359541,27.91666667,373.5724834,28,0.237961766,28,0.3136277,GRA,0.2302711,25,1.329803978,1.403252767,1.09230347,1.15612521,1.556715602,1.721327687,,1.014895567,0.872505627,0.987896548,2013,9,12.87022098,11.59710528,11.59710528,22676,11:00,1.721327687,4.780749028,1.4517947,5.6683187,-34.9893,146.2907,1.531986783
2.01E+11,10.017682,8.198788333,0.166666667,30,30,718.7666667,30,1061.77,30,14.378,30,,0,19.86666667,30,0.133333333,30,14.65166667,30,41.86206897,29,368.5307667,30,0.166666667,30,7.117482844,5.864400101,0.237961766,24,24,412.6853196,28,665.7966074,28,11.72632504,28,,0,17.6980731,28,0.067908914,28,14.44483598,28,49.70359541,27.91666667,373.5724834,28,0.237961766,28,0.3136277,GRA,0.2302711,25,1.407475398,1.398060874,1.12253275,1.226130092,1.594736273,1.741682179,,1.01431866,0.842234221,0.986504047,2013,9,12.87022098,11.59710528,11.59710528,22677,11:30,1.741682179,4.70739635,1.4530298,5.642547,-34.9893,146.2907,1.583854325
2.01E+11,9.592425862,7.870376897,0.137931034,29,29,681.8275862,29,1066.595069,29,14.78724138,29,,0,20.02413793,29,0.172413793,29,14.45172414,29,41.13793103,29,367.623069,29,0.137931034,29,7.117482844,5.864400101,0.237961766,24,24,412.6853196,28,665.7966074,28,11.72632504,28,,0,17.6980731,28,0.067908914,28,14.44483598,28,49.70359541,27.91666667,373.5724834,28,0.237961766,28,0.3136277,GRA,0.2302711,25,1.34772729,1.342060016,1.1314304,1.261029463,1.601983334,1.652173106,,1.00047686,0.827665095,0.98407427,2013,9,12.87022098,11.59710528,11.59710528,22678,12:00,1.652173106,4.763651501,1.3420308,5.864528,-34.9893,146.2907,1.607659652
2.01E+11,2.864167296,1.877559148,0,27,27,831.6296296,27,1211.407407,27,19.85459259,27,,0,21.6837037,27,0,27,7.048148148,27,29.48148148,27,368.6666667,27,0,27,2.65452254,1.617706655,0.15754711,24,24,533.6829344,26.91666667,827.7620882,26.91666667,18.11563252,26.91666667,,0,20.27863569,26.91666667,0.007253905,26.91666667,6.866740635,26.91666667,32.73171736,26.91666667,370.3123298,26.91666667,0.15754711,26.91666667,0.2351169,GRA,0.2302711,25,1.078976446,1.160630169,1.069288094,1.095992236,1.463472929,1.558284097,,1.026418285,0.900700723,0.995556013,2013,10,34.53444965,8.466988435,8.466988435,22700,11:00,1.558284097,1.204888859,1.2264042,1.5309465,-34.9893,146.2907,1.387293775
2.01E+11,2.619581393,1.803632214,0.107142857,28,28,843.7142857,28,1234.254286,28,20.44253571,28,,0,21.85857143,28,0,28,7.014285714,28,27.67857143,28,367.5723929,28,0.107142857,28,2.65452254,1.617706655,0.15754711,24,24,533.6829344,26.91666667,827.7620882,26.91666667,18.11563252,26.91666667,,0,20.27863569,26.91666667,0.007253905,26.91666667,6.866740635,26.91666667,32.73171736,26.91666667,370.3123298,26.91666667,0.15754711,26.91666667,0.2351169,GRA,0.2302711,25,0.986837125,1.114931566,1.077911343,1.128447251,1.491073707,1.580927984,,1.021486916,0.845619285,0.992601011,2013,10,34.53444965,8.466988435,8.466988435,22701,11:30,1.580927984,1.140869307,1.2375059,1.4574736,-34.9893,146.2907,1.461744815
2.01E+11,2.837605125,2.007335333,0.125,24,24,820.4583333,24,1225.300417,24,20.78354167,24,,0,21.8075,24,0,24,7.279166667,24,26,24,368.6666667,24,0.125,24,2.65452254,1.617706655,0.15754711,24,24,533.6829344,26.91666667,827.7620882,26.91666667,18.11563252,26.91666667,,0,20.27863569,26.91666667,0.007253905,26.91666667,6.866740635,26.91666667,32.73171736,26.91666667,370.3123298,26.91666667,0.15754711,26.91666667,0.2351169,GRA,0.2302711,25,1.068970062,1.240852492,1.075392859,1.147271101,1.480256748,1.537351638,,1.060061396,0.794336567,0.995556013,2013,10,34.53444965,8.466988435,8.466988435,22702,12:00,1.537351638,1.305709952,1.2331133,1.6278597,-34.9893,146.2907,1.513791247
2.01E+11,0.804309714,0.215425,0.19047619,21,21,893.5714286,21,1318.376667,21,24.90685714,21,,0,24.71380952,21,0,21,9.623809524,21,25.14285714,21,370.5336667,21,0.19047619,21,1.174838586,0.239287283,0.1720618,24,24,633.7181521,18.91666667,946.6793175,18.91666667,23.94267534,18.91666667,,0,23.9999733,18.91666667,0.024414417,18.91666667,9.351528528,18.91666667,28.09105964,18.91666667,371.7923367,18.91666667,0.1720618,18.91666667,0.1541113,GRA,0.2302711,25,0.684612954,0.900277679,1.029743209,1.040270429,1.392632798,1.4100455,,1.029116202,0.89504837,0.996614589,2013,11,11.52350235,28.47223613,28.47223613,22724,11:00,1.4100455,0.152778758,1.1887175,0.18122472,-34.9893,146.2907,1.332222975
2.01E+11,1.397456313,0.18916325,0.25,16,16,881.171875,16,1338.9825,16,27.4183125,16,,0,25.885625,16,0,16,8.975,16,22.8125,16,369.8854375,16,0.25,16,1.174838586,0.239287283,0.1720618,24,24,633.7181521,18.91666667,946.6793175,18.91666667,23.94267534,18.91666667,,0,23.9999733,18.91666667,0.024414417,18.91666667,9.351528528,18.91666667,28.09105964,18.91666667,371.7923367,18.91666667,0.1720618,18.91666667,0.1541113,GRA,0.2302711,25,1.189487925,0.790527801,1.078568908,1.145164946,1.414399232,1.390479146,,0.959736151,0.812091117,0.994871064,2013,11,11.52350235,28.47223613,28.47223613,22725,11:30,1.390479146,0.136041774,1.1224313,0.16852991,-34.9893,146.2907,1.402332715
2.01E+11,1.793333077,0.180039385,0.153846154,13,13,862.0769231,13,1334.151538,13,27.37446154,13,,0,25.47923077,13,0.230769231,13,10.36923077,13,22.15384615,13,370.2359231,13,0.153846154,13,1.174838586,0.239287283,0.1720618,24,24,633.7181521,18.91666667,946.6793175,18.91666667,23.94267534,18.91666667,,0,23.9999733,18.91666667,0.024414417,18.91666667,9.351528528,18.91666667,28.09105964,18.91666667,371.7923367,18.91666667,0.1720618,18.91666667,0.1541113,GRA,0.2302711,25,1.526450611,0.752398465,1.061635796,1.143333448,1.409296172,1.36034753,,1.108827368,0.788644018,0.995813756,2013,11,11.52350235,28.47223613,28.47223613,22726,12:00,1.36034753,0.132348081,1.0821843,0.16636667,-34.9893,146.2907,1.453290945
